*** File created 2020-04-28 09:16:10.872955 ***
*** Log file from biogeme 3.2.5 [2020-04-28]
[09:15:52] < General >   Remove 24 unused variables from the database as only 23 are used.
[09:16:04] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:       0.06  
[09:16:04] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:       0.08  
[09:16:04] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:        0.1  
[09:16:04] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:       0.06  
[09:16:04] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:       0.03  
[09:16:04] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:       0.04  
[09:16:05] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:       0.05  
[09:16:05] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:        0.1  
[09:16:05] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:       0.04  
[09:16:05] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:       0.03  
[09:16:05] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:       0.03  
[09:16:05] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:        0.3  
[09:16:05] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:       0.05  
[09:16:05] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:       0.03  
[09:16:05] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:       0.03  
[09:16:05] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:       0.04  
[09:16:05] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:       0.02  
[09:16:05] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:       0.05  
[09:16:05] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:       0.03  
[09:16:06] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:       0.01  
[09:16:06] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:       0.02  
[09:16:06] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:       0.02  
[09:16:06] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:       0.03  
[09:16:06] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:       0.03  
[09:16:06] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:       0.01  
[09:16:06] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:      0.009  
[09:16:06] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:      0.009  
[09:16:06] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:      0.006  
[09:16:06] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:       0.04  
[09:16:06] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:       0.02  
[09:16:06] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:       0.01  
[09:16:07] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:       0.01  
[09:16:07] < General >   Log likelihood (N=10692):  -7874.978 Gradient norm:      0.006  
